number,class,clearance_level,description,image_url,,,,,,,
,,6,,,,,,,,,
401,Euclid,2," SCP-401 was discovered near the French city of ¦¦¦¦¦¦ when agents responded to reports of the ground bleeding. When led to the site, investigators found a human mouth embedded in the soil, licking away the remaining blood with a long prehensile tongue. It was not until a week later that agents realized that the mouth was part of the root structure of what at first appeared to be a forty (40) meter tall dead eucalyptus tree with branches shaped like multi-jointed human arms. The white colour of the trunk, originally suggesting that the tree was dead, was found to be because the bark was made of human bone tissue. It was given SCP status and excavated from the area, to be transported to Site-¦¦.",,,,,,,,
402,Euclid,2," SCP-402 is an irregularly-shaped solid weighing 4kg. While SCP-402 is composed largely of obsidian, trace amounts of platinum and iridium are present. SCP-402's structure has numerous abnormal microscopic gaps similar to those found in  SCP-148 ; this, along with SCP-402's anomalous density (22.2g/cm 3 , roughly 8.5 times that of obsidian), suggests that the two materials operate under similar principles.",,,,,,,,
403,Safe,1," SCP-403 is a visually unremarkable naptha-fueled lighter that was discovered in a cafeteria at Site-¦¦. When lit once after a prolonged period of disuse, SCP-403 produces an ordinary flame. However, if ignited repeatedly within 24 hours the flame produced by SCP-403 becomes larger and more violent in nature with each subsequent ignition.",,,,,,,,
404,Safe,1," SCP-404 is a pair of large manila envelopes, one of which has a series of pages attached to the front. Each page is stamped with a name/date/time/number table and contains multiple entries with known and unknown names. The ink has been dated to 1833, ±10 years and the folder dated to 1834, ±10 years. Many signatures are noted on the grid, notably those of former Document Repository Administrators ¦¦¦¦¦¦¦¦ (dated ¦¦-¦¦-¦¦¦¦), ¦¦¦ (dated ¦¦-¦¦-¦¦¦¦), and ¦¦¦¦¦¦¦¦¦¦ (dated ¦¦-¦¦-¦¦¦¦). All signatures also are followed by a numerical reference number. Currently there are over 1000 signatures on these pages with additional pages appearing on their own when the previous ones become full. A count of these pages has proven impossible as has the contents of the envelope as mentioned later.",,,,,,,,
,,3, SCP-405 is a contagious phenomenon of unknown origin that causes the uncontrolled development of telepathic capabilities in humans. The typical progression of the disease is as follows. (¦¦% of cases do not follow this pattern.),,,,,,,,
406,Euclid,2," SCP-406 is a 228-metre-long disused railway tunnel in Crigglestone, England. The eastern entrance has been infilled and is inaccessible. The western entrance is blocked by a metal fence with a locked gate.",http://scp-wiki.wdfiles.com/local--files/scp-406/1066529_0ca423c3.jpg,,,,,,,
407,Neutralized,0," SCP-407 is a song in an unidentified language, seemingly sung a cappella. The voices are thought to be human. The tape containing SCP-407 was found with one track of approximately thirty (30) minutes duration, though the abrupt ending suggests there may be more. The song has been described by all listeners as something along the lines of 'soothing', 'glorious', and 'beautiful'.",,,,,,,,
408,Safe,1," SCP-408 is a large mass of Lepidoptera, taking the appearance of zebra butterflies when not camouflaged. SCP-408 acts as a single entity at all times, speculated to be a form of hive mind communication amongst the mass. When inactive, SCP-408 will take on the color, pattern, and even texture of its immediate surroundings, making them functionally invisible. When threatened, SCP-408 has been observed to take on the form and appearance of a number of threatening creatures as a defense method, including a pride of lions, a Tyrannosaurus Rex, and most notably  SCP-682  (See Incident Log 682-C).",,,,,,,,
409,Keter,3," SCP-409 resembles a large quartz crystal approximately 1.5m (5ft) tall and 0.6m (2ft) wide. Any objects coming in contact with SCP-409 will begin to crystallize after three hours. This effect will occur in any material other than granite. The crystallization will spread by approximately 2.5cm (1in) per minute, and will convert the entire object or organism, inside and out. Subjects report this effect to be extremely painful, and similar to frostbite. After complete crystallization, the object will begin to make snapping and creaking noises for approximately twenty minutes, before bursting into thousands of fragments with great force.",https://scp-wiki.wdfiles.com/local--files/scp-409/297px-Giant1standingmy8.jpg,,,,,,,
410,Safe,1," SCP-410 is a colony of fourteen (14) individual beetles (designated  Scarabaeus scriptor  by staff coleopterist Dr. Langstrom), each measuring approximately 5cm and possessing a carapace color variation from light blue to deep emerald green. A visual examination reveals nothing distinctive from other members of the genus  Scarabaeus  with regards to their appearance (number of legs, wings, eyes, etc). Dissection of a single member of the colony by a trained coleopterist showed no discernible anomalies in internal morphology with the exception of a small additional organ (designated the ""scriptorgan"" by Dr. Langstrom) capable of producing a variety of fluids both caustic and inert. It is worth noting that following the death and dissection of this member of the colony, a ""replacement"" beetle larva was seen fourteen (14) days later and grew to full maturity within one month.",https://scp-wiki.wdfiles.com/local--files/scp-410/scp410beetle.gif,,,,,,,
,,5,,,,,,,,,
412,Safe,1," SCP-412 is an antique silver hand mirror measuring 18 cm by 7 cm. The mirror has a 4 cm crack in the top left hand corner, and has an etched motif of roses and vines. Around ¦¦% of subjects within direct line of sight of SCP-412 report a compulsion to pick up the item and view their reflection in it. There does not appear to be a discernible pattern to the 'selections' - testing for possible genetic, mental, or other selection markers is ongoing.",https://scp-wiki.wdfiles.com/local--files/scp-412/scp412.jpg,,,,,,,
413,Safe,1," SCP-413 is a four-story parking garage located in [REDACTED]. Inside, SCP-413 has a variable environment that dynamically alters itself. In effect, SCP-413 is able to change its internal structure, such as moving ramps, adding floors, changing stair cases, and so on. However, when observed from the outside, there is no indication of any of these changes taking place. While accurate measurement of SCP-413's interior has proven impossible, it is well established that the interior is larger than the building's external dimensions, and that the interior dimensions are constantly changing.",,,,,,,,
414,Keter,3," SCP-414 is a phenomenon that targets asocial humans and is categorized into two derivative effects, SCP-414-1 and SCP-414-2. The asociality may range from minor introversion to complete isolation. SCP-414 primarily affects individuals under the NEET 1  demographic with no regional preferences. SCP-414 begins when a humanoid in a circular mask, referred to as SCP-414-1, appears in front of a targeted human. SCP-414-1 typically claims to be an employee for a local social work organization.",https://scp-wiki.wdfiles.com/local--files/scp-414/SierraLeone016.jpg,,,,,,,
,Safe,1," SCP-415 is a 176.9 centimeter tall Caucasian male of 36 years. He has blue eyes, receding brown hair, and appears to be human. Subject exhibits an average IQ and a relatively stable personality given his situation. He is cooperative with on-site staff, though is nervous around medical equipment and personnel.",,,,,,,,
416,Euclid,2," SCP-416 is an oblong area of forest located in the ¦¦¦¦¦¦¦¦¦ ¦¦¦¦¦¦¦¦¦ in northern ¦¦¦¦¦¦¦¦, ¦¦¦¦¦¦ ¦¦¦¦¦¦¦. Though its true borders are not known (and indeed may be in a constant state of flux), estimates place its ""center"" at ¦¦°¦¦ N, ¦¦°¦¦¦ W. It displays remarkable spatial anomalies, the most notable of which is that once entered, it is impossible to leave on foot; the only personnel to escape the area inside SCP-416 were extracted by an aerial reconnaissance team. Though from the air SCP-416 appears identical to the surrounding coniferous forests, it displays a bewildering array of plant life; species as varied as Joshua trees ( Yucca brevifolia ), Grandidier's baobab ( Adansonia grandidieri ), Wollemi pine ( Wollemia nobilis ), and manchineel trees ( Hippomane mancinella ) have been observed. No explanation has been offered as to how these species arrived and propagated. All observations indicate that SCP-416 is entirely devoid of animal, fungal, or insect life. Personnel deployed inside SCP-416 report that the entire area is continually overcast with fog despite satellite evidence to the contrary.",,,,,,,,
417,Euclid (Potentially Keter),5," SCP-417 resembles an African baobab tree in general size and structure, though it lacks leaves, giving it a dead appearance. Its bark has a drab, off-colour appearance. Despite the absence of leaves, SCP-417 bears fruit every sundown. Small buds form as the sun rises and the fruit grows and matures quickly over the course of the day, before ripening into pomegranate-sized, hard-husked fruit. This fruit has dark purple-black skin and a mostly smooth texture that grows pebbly as it becomes overripe. This hard husk may be cut or peeled away by hand or with tools.",,,,,,,,
,,5,,,,,,,,,
419,Safe,1," SCP-419 is a large pane of reinforced glass 1.5m x 3.6m x 7.6cm in dimensions. One side of SCP-419 does not allow light to pass through. Instead, it displays a view of what appears to be an extradimensional urban environment. This phenomenon is only present when viewed directly by a human subject. Photographs, motion sensors, and vision-enhancing objects such as glasses or contacts all act on SCP-419 as if it were a mirror. The scene viewed through SCP-419 appears to be outside but lacks any natural lighting, regardless of the time it is viewed. No super-terrestrial forms (such as celestial bodies) are visible. The view would appear to originate from a vantage point high above ground level. Approximately 800 lux of light emanates from SCP-419 despite the lack of a light source. The source of this phenomenon is theorized to be whatever environment SCP-419 displays. Light from SCP-419's testing chamber does not affect this scene.",,,,,,,,
420,Safe,1," SCP-420 is a dirty bottle of [REDACTED]-brand whiskey with no lid; when emptied, a small amount of whiskey-like liquid (SCP-420-1) remains in the bottle, appearing as liquid adhering to the sides. This liquid pools back into a few milliliters of SCP-420-1 over time. Drinking SCP-420-1 will cause SCP-420-2, a nonfatal but consuming degeneration and mutation of skin and keratinous tissue (hair, fingernails, etc.) in the infected. Cases of SCP-420-2 should be contained for further study. Early cases can be treated (see Treatment, below). SCP-420-2 has only been shown to affect humans.",,,,,,,,
421,Euclid,2," SCP-421 is an organism comprised entirely of driftwood and other oceanic waste. The exact configuration of the organism appears to be in constant flux, but typically consists of a centralized body of relatively tightly packed driftwood surrounded by a shoal of smaller organisms similar in appearance and behaviour to fish. Individual members of the shoal are regularly subsumed or created from the main body and have demonstrated no ability to reconfigure themselves while separated from the bulk of SCP-421. It is hypothesised that SCP-421 possesses a hive intelligence similar to that observed in social insects; members of the SCP-421 shoal are able to travel independently for ¦¦ km, beyond which they lose integrity and are reduced to simple driftwood with no known anomalous properties.",,,,,,,,
422,Safe,1," SCP-422 is a large quadruped, 83 centimeters at the shoulder and weighing 53 kg, though size and weight vary minutely from day to day. SCP-422 is constructed entirely out of large pieces of the bodies of other animals, stitched in place with muscle fiber and trace amounts of cartilage. The creature’s major organs appear to be composed of portions of other organs, though a given organ will only be made of portions of that type of organ (e.g., its heart is made of connecting chambers of other hearts). It has a flat face with two mismatched eyes- one green cat-like eye and one brown with a horizontal pupil like a goat. Its nose consists of two small slits just below the eyes, and its mouth is abnormally wide, stitched about the corners in such a way that it appears to be grinning. Its back legs are also much longer than its front legs, resembling a frog’s legs with an abnormal number of joints.",,,,,,,,
423,Safe,1," SCP-423 has no physical form. It appears to exist entirely within textual narratives. It was discovered in a used book store in ¦¦¦¦¦¦¦¦, Texas, on ¦¦¦¦ ¦¦, 19¦¦, in a copy of  Tom Sawyer . The book was purchased by Agent ¦¦¦¦¦¦, who located it during a routine search.",,,,,,,,
424,Safe,1," SCP-424 was discovered accidentally in early 2004 at a gas station in Campbell River, British Columbia. Documentation of discovery and capture can be found in Log #424-B, Files 424-1~10. SCP-424, at rest, appears to be a smooth, gelatinous mass, with equal black-and-white colouration. No patterns are observed to form on its surface while in this resting position, though the shades constantly shift position. In actuality, SCP-424 is a vast collection of microscopic organisms. Whether they function as a group, or by a single (or multiple) consciousness(es) is unknown, as samples taken display behaviour similar, yet independent, to that of the main mass. Origin of pigmentation is currently under investigation, but not prioritised under main research staff.",,,,,,,,
425,Euclid,2," SCP-425 appears to be a 1958 Philco Tandem Predicta television set. It was first reported in 1963 by the owner of the unit, ¦¦¦¦¦ ¦¦¦¦¦¦¦. Mrs. ¦¦¦¦¦¦¦ originally contacted the FBI regarding the SCP, stating that it had begun to behave erratically at certain times. She reported to the FBI that her son, ¦¦¦¦¦ ¦¦¦¦¦¦¦, had begun having terrible nightmares and had scratched ""8 = 8"" on the left side panel of the television set. Mrs. ¦¦¦¦¦¦¦ further reported that although she had unplugged the set, it continued to broadcast without power at certain times during the day. Embedded Agent ¦¦¦¦¦¦ became aware of the situation and brought SCP-425 to the Foundation.",,,,,,,,
426,Euclid,2," Hello, I am SCP-426. I must be introduced this way in order to prevent ambiguity. I am an ordinary toaster, able to toast bread when supplied with electricity. However, when any human being mentions me, they inadvertently refer to me in the first person. Despite all attempts, there is yet to be a way to speak or write about me in the third person. When in my continuous presence for over two months, individuals begin to identify themselves as a toaster. Unless forcibly restrained, these people will ultimately harm themselves in their attempts to emulate my standard functions.",,,,,,,,
427,Safe* (see containment procedures),4," SCP-427 is a small, spherical, ornately carved locket made of a polished silver material. The ornate carvings do not seem to serve any function; it is unknown whether SCP-427's outer casing was crafted by sentients or not. Its circumference at its widest point is roughly 3 cm.",,,,,,,,
428,Euclid,2," SCP-428 is, in appearance, a crowd of huddled human beings. As of 20/12/¦¦ it consists of fourteen (14) people. While huddled in a circle, SCP-428 is to be considered in a ‘dormant’ state. In this state, the crowd moves with a gentle sway and can be heard audibly mumbling. Upon further inspection, the biological internals (organs, bones, muscles and fluids, leaving only the skin) have been removed from each individual and replaced with an unidentified material that attaches to a central amorphous mass in the middle of the crowd via lengths of flesh similar to umbilical cords.",,,,,,,,
,,6, SCP-429 is a complex device constructed of brass and leather designed to fit over an individual's right hand. There are a total of 7 controls on SCP-429:,,,,,,,,
430,Euclid,2," SCP-430 is a cylindrical gibbet approximately 3m tall and 0.7m in diameter, weighing ca. 800kg, composed of an unknown material - SCP-430 resists attempts to obtain bulk material samples, and attempts at indentation testing resulted in hardness values inconsistent with other properties 1 . Samples of surface corrosion are obtainable, and are chemically identical to hydrated ferrous oxide. On the lower rim, the numerals ""1772"" and name ""Hans Drechsler"" are carved.",,,,,,,,
431,Euclid,2," SCP-431 is the designation given to Dr. Gideon, a man who appears to have been a Foundation researcher. Due to the condition of records at present, it is not known if Gideon is his real name. The existence of SCP-431 was first discovered during what appeared to be an attempt to hack the Foundation database: a number of documents were altered to state that a scientist referred to as ""Dr. Gideon"" was involved in researching several SCP objects. However, it was determined that the documents in question were not being accessed at the time that they were modified.",,,,,,,,
432,Safe,1," SCP-432 is a 2-door steel storage cabinet, measuring 2 meters tall by 1.2 meters wide by 1 meter deep. The exterior of the cabinet is painted matte green and bears no remarkable features except small areas of corrosion and light scratching commensurate with being left exposed to the elements for a prolonged period of time. The doors of the cabinet are fitted with a basic slide-bolt and a hasp for a padlock, allowing the door to be secured from outside.",https://scp-wiki.wdfiles.com/local--files/scp-432/SCP-432-video-frame.png,,,,,,,
433,Euclid,2," SCP-433 is a ritual described in document SCP-433-001. The ritual, when performed, results in the wholesale replacement of all matter within 11 m of the center of the ritual. All people, objects, terrain, and even gas is apparently removed and replaced with matter of unknown origin. See  Test Log 433-031  for details on matter replacements.",,,,,,,,
,,6," SCP-434 is an antique conference table. SCP-434 will not function unless at least eight chairs are placed around it. When a subject sits at SCP-434, physical duplicates of the subject will appear in 7 of the other chairs. These individuals, referred to as SCP-434-1 to SCP-434-7, possess all of the subject's memories and knowledge, but seemingly only a fragment of their personality. SCP-434-(1-7) are aware of their temporary nature and rarely react negatively to it. When questioned on the issue, they will state that they are elements of the subject and will live in him for all his life. The individuals remain for a full day after the subject leaves the table, after which they vanish, leaving no detectable traces. However, the individuals are more than capable of assaulting each other, other personnel and in rare cases, typically where the subject is mentally unstable, the subject themselves. While injuries have no lasting effect, the death of an individual results in a marked change in the personality of the subject, corresponding to the lack of the aspect embodied by that individual. SCP-434-(1-7) are as follows:",,,,,,,,
435,Keter,3," SCP-435-1 is a type III iron meteorite weighing approximately ¦¦,¦¦¦ kg, showing significant weathering. Spectroscopic and chemical analysis shows a composition over 99% iron, which at normal densities can only account for ¦¦% of the measured weight. Age is indeterminate, but analysis of weathering suggests it has been exposed to atmosphere for at least ¦¦,¦¦¦ years.",https://scp-wiki.wdfiles.com/local--files/scp-435/breach.jpg,,,,,,,
436,Euclid,2," SCP-436 is a small locket, apparently made from gold. When opened, an inlaid photograph can be seen. It is unknown if the photograph is the source of SCP-436's effect, because this cannot be tested.",,,,,,,,
437,Euclid,2," SCP-437 is a large grove of trees located in Camp Lakewood, Illinois (USA). It contains 64 instances of SCP-437-A.",https://scp-wiki.wdfiles.com/local--files/scp-437/tree1A.jpg,,,,,,,
438,Euclid,2," SCP-438 is a white canvas straitjacket of the Posey brand, dating to about 1930, fitted with straps of an unknown material. The jacket is designed for versatility and will fit and securely restrain some 95% of adult humans when properly adjusted.",,,,,,,,
439,Euclid,2," SCP-439 is an insect of unknown origin, somewhat resembling a greyish, semitranslucent  Forficula auricularia  (common earwig), approximately 2.5 cm in length. Originally located/obtained in mainland China in the ¦¦¦¦ ¦¦¦¦ province. No other specimen has been found, as of yet.",https://scp-wiki.wdfiles.com/local--files/scp-439/bonehive.jpg,,,,,,,
440,Euclid,2," SCP-440 is a sample of fine-grain sand (sand grain of approximately 90 micrometers) that is chemically identical to typical silica-based sand. Its only difference is that it functions as if it were in a microgravity environment, regardless of the gravitational forces acting upon it. SCP-440 was found in a small glass bottle with no label on it, filled with a viscous fluid that, presumably, weighs down SCP-440 and prevents the grains from touching.",,,,,,,,
441,Euclid,2," SCP-441 is an adult male Jacob Ram. Prolonged proximity to SCP-441 leads to a depressed immune system in humans. After approximately thirty minutes of exposure, D-class test subjects showed markedly decreased white blood cell counts. After an exposure of an hour or more, subjects display symptoms of severe immune deficiency. After ninety minutes or more, the immune systems of subjects generally do not recover, and death results from massive infection.",,,,,,,,
442,Euclid,2," SCP-442 is a gold-plated pocket watch three (3) centimeters in diameter with hands showing the hour and minute. Along the edge of the watch an inscription reads, ""To my good friend, a helping hand."" While no apparent seams allowing SCP-442 to be opened without damaging it have been found, scans of the interior of SCP-442 have revealed nothing unusual in its workings.",,,,,,,,
443,Safe,1," SCP-443 is a mostly complete 16-piece set of Crayola crayons, numbered SCP-443-01 through 14. The set is a model (BS0366) which was produced between 1997 and 1999, although the serial number on the packaging is outside the range of the product. Two crayons (""Blue Green"" and ""Violet/Purple"") are missing. SCP-443-05 is snapped in two pieces (05a and 05b), while SCP-443-09 had its non-writing end damaged in a nibbling incident involving  SCP-529  which, for this reason should be kept away from the items.",https://scp-wiki.wdfiles.com/local--files/scp-443/443.jpg,,,,,,,
,,2,,,,,,,,,
445,Safe,1," SCP-445 consists of three stacks of white 11"" x 17"" paper. Each individual leaf has the text ""Dr. Wondertainment's Super Paper!"" stamped on the bottom-left corner. While in its natural state, SCP-445 cannot be torn or burned, water has no adverse effect on it, and glue or tape will not stick to SCP-445. Observation of SCP-445 has found that its fibers are much denser than normal paper fibers at 3000 kg/m 3 , and a micro-layer of an unidentifiable substance is coated on each individual fiber.",https://scp-wiki.wdfiles.com/local--files/scp-445/FWTgj28XwAAhU3s.jpg,,,,,,,
446,Safe,1," SCP-446 in its normal state appears to be a Caucasian female, early twenties, brown hair 17.78 cm at its longest point, unusually bright blue eyes, light skin with a tattoo of the Marshall, Carter and Dark logo on its lower back, 1.75 m tall and weighing 52.16 kg. SCP-446 is anatomically correct, at least on the outside. All physical characteristics are consistent with a living human, including skin tone and texture, eye color and clarity of the sclera, even body heat. SCP-446 does not respond to any communication, however, and also does not breathe or exhibit a pulse.",,,,,,,,
447,Safe,1," SCP-447-1 is a green sphere approximately 5 cm in diameter, with a spongy surface texture and a weight of 1.37 kg. The object is warm to the touch, approximately the same temperature as a human body, although its core temperature is slightly higher. Personnel handling SCP-447-1 have reported no adverse effects, so long as SCP-447-1 does not come into contact with a dead body.",,,,,,,,
448,Safe,1," Object appears to be a child's Jack-in-the-box toy. The box portion is 13cm along each side and is constructed of tin, with a colorful decal depicting a smiling clown on each facet of the box except for the bottom and right side, which holds the turn crank. When cranked, the toy plays ""Pop Goes the Weasel"", causing the ""Jack"" to leap out the top before the final five notes, as most toys of its kind normally do.",,,,,,,,
449,Euclid,2," Each instance of SCP-449 is a twisting aluminium cone, loosely resembling a cornucopia. Each is 40 centimetres long with a mouth approximately 15 centimetres in diameter, weighing slightly more than a kilogram. On the side of each is stamped the word “JOY”. For unknown reasons, all instances tarnish very easily.",,,,,,,,
450,Euclid,2," SCP-450 is the death row block of the abandoned ¦¦¦¦¦¦¦¦¦¦ Federal Penitentiary in ¦¦¦¦¦¦¦¦¦, ¦¦. Distance from entrance to the execution chamber is approximately 166.5 meters. A complex pattern,  drawn in human blood , is located on the wall behind the electric chair. This pattern slowly degrades over time due to normal environmental decay and must be maintained regularly.",,,,,,,,
451,Euclid,2," SCP-451, formerly Agent M¦¦¦¦¦ J¦¦¦¦, is a Caucasian male, 33 years of age and 1.6 m tall. SCP-451 can not perceive the presence or actions of other human beings. Changes made to the immediate environment are generally not noted by SCP-451 unless his attention is elsewhere for any arbitrary period of time. Certain changes to SCP-451's surroundings are misinterpreted, including all attempts to communicate with him and any clear evidence of direct human intervention. Study may be necessary to determine a pattern in what is perceived and what is not.",,,,,,,,
452,Euclid,2," SCP-452 is a colony of  Latrodectus hesperus  (Western American black widow) physically indistinguishable from normal spiders of its kind. SCP-452 has a preference to spin webs near areas where humans sleep, and when allowed to freely roam, will attempt to relocate if no humans sleep near its web for extended periods of over a week.",https://scp-wiki.wdfiles.com/local--files/scp-452/scp452.jpg,,,,,,,
453,Euclid,2," SCP-453 is a nightclub located in ¦¦¦¦¦¦¦¦¦¦¦¦¦¦, Italy, currently owned and operated entirely by Foundation personnel. Every night, an apparently random assortment of civilians from ¦¦¦¦¦¦¦¦¦¦¦¦¦¦ and adjoining municipalities arrive at the club; although the night invariably begins identically to any other club, over the course of the night the civilians present fall into ""roles"" in one of ¦¦¦ currently documented sequences of events (termed ""Scripts"" by Foundation operatives working on SCP-453). Over the course of the evening, generally according to Script, civilians will depart the club and return home, maintaining only partial memories of the night. All surviving civilians depart before 0400 every night.",,,,,,,,
454,Safe,1," SCP-454 is a comic book, titled “The Crypt of Terror” The front cover has the picture of a female, nervously looking around, with a shadowy figure some distance behind her. The price is listed as ten cents and the issue number is seventeen. The item bears slight damage from age and normal wear. Although the cover mentions a werewolf, the story does not.",,,,,,,,
455,Euclid,2," SCP-455 is a large cargo ship currently run aground on the southern coast of Chile. Most of its structure is underwater and badly damaged, with rust coating 85 to 90 percent of all surfaces. Internal structure appears to be significantly larger than external dimensions, and is not flooded despite large holes visible on outer hull.",https://scp-wiki.wdfiles.com/local--files/scp-455/Wrecktophg4.jpg,,,,,,,
456,Safe,1," SCP-456 is a variety of the common bedbug ( Cimex lectularius ). In addition to an anticoagulant, SCP-456 injects [DATA EXPUNGED] when biting its host, causing the brain to produce adenosine, endorphins, and a narcotic identified as an analogue of fentanyl. As a result, victims of SCP-456 infestations experience increasing euphoria and somnolence as the number of insects increases, eventually sleeping 24 hours/day.",https://scp-wiki.wdfiles.com/local--files/scp-456/bug.jpg,,,,,,,
457,Euclid/Potential Keter,5," For all points and purposes, SCP-457 appears to be a sentient being composed of flame. SCP-457's actual composition is unknown, and has proven to be invisible and undetectable by any known means, but is shaped out by the flames it produces, often assuming a human-like form if given sufficient fuel to assume that size. SCP-457's most rudimentary form appears to be that of a single flame, comparable in size to that of a matchstick. In this form, SCP-457 possesses only the simplest of directives and shows no signs of being unusual compared to any other flame beyond a penchant for suddenly flickering to burn human hands, and the ability to 'jump' to more flammable materials or other flames, which it then assimilates into its total form.",https://scp-wiki.wdfiles.com/local--files/scp-457/scp-457-new.png,,,,,,,
458,Safe,1," SCP-458 is a large-sized pizza box from the pizza chain Little Caesar's, of their Hot-n-Ready variety. It is made of simple cardboard, measures 25.4cmx25.4cmx2.54cm (10inx10inx1in), and weighs about 20 to 20.49 grams depending on toppings. As a result of the unusual nature of SCP-458, measurement of weight is inconsistent.",https://scp-wiki.wdfiles.com/local--files/scp-458/scp-458.jpg,,,,,,,
459,Safe,1," SCP-459 appears to be a standard home thermostat. The item is equipped with a small display, four buttons, and two dials on either side of the screen; the two buttons on the right side raise and lower temperature, and the other two appear to affect relative humidity in the area - However, these buttons will only work when both dials are set to the off position. The left dial (Dial 1) is marked with several standard weather conditions including ""rain"", ""snow"", and [DATA EXPUNGED].  The fourth and fifth positions' lettering has worn off, and have been marked as 4 and 5.  The fourth and fifth positions have been respectively designated ""T-storm"" and ""Hurricane"". The right dial (Dial 2) has ¦¦ different settings, all of which are unmarked. The rightmost positions on each dial are the ""off"" positions.",,,,,,,,
460,Euclid,2," SCP-460 is a free-floating mass of cumulonimbus, with an average diameter of 3.5 km. Normally, SCP-460 takes the form of a large ring, and is unaffected by standard meteorological conditions that a cloud of its shape and size would be. The composition of the cloud itself is typical, with frozen water (H 2 O) making up 98.7%. However, the remaining 1.3% of the cloud consists of a highly active form of ectoplasm, which lends to SCP-460’s unique properties.",,,,,,,,
461,Safe,1," SCP-461 is a 25-inch cathode ray tube (CRT) television of unknown origin, although it outwardly resembles a Zenith unit manufactured in the early 1980s. The model number is “ZT-035,” but this does not correspond to any known Zenith television. Once a day, at exactly 0300 Greenwich Mean Time (GMT), SCP-461 self-activates and displays video footage lasting precisely five minutes. The nature of the footage varies widely, but it is never a conventional broadcast. Instead of standard television programming, SCP-461 displays what appears to be video feeds of closed-circuit security cameras in both commercial and residential settings. All footage appears contemporary and transmitted ""live.""",,,,,,,,
462,Safe,1," SCP-462 is a 1968 Chevrolet El Camino in a state of serious disrepair, with several broken windows and severe rust damage. A single key is inserted into the ignition. To date, all attempts at removing the key have failed. If a human sits in the driver's seat and turns the key as if to start the vehicle, they will instantaneously disappear. Around 42% of SCP-462’s drivers have been known to suddenly reappear without the vehicle at a distant location after a random period of time, ranging from 43 seconds to 7 months, near the spot that they have confirmed as being their chosen destination. These drivers rarely arrive at their destination safely; many have been observed falling from a considerable height after reappearing, while others have arrived while flying in the direction of their destination at various speeds, resulting in injuries that are sometimes fatal. Occasionally, test subjects will arrive in various states of dismemberment. In 35% of these cases, the test subject never reappears and cannot be located, even when fitted with a GPS transceiver. The remaining 23% of test subjects [DATA EXPUNGED].",,,,,,,,
463,Safe,1," SCP-463 is a small silver spoon, approximately 17.5 cm in length, with a mass of approximately 153 g. Unless handled by a human, SCP-463 displays no abnormal behavior. Neutron imaging, MRI, and the [REDACTED] imaging system have revealed no detail to the inner structure. All analysis of SCP-463 is consequently limited to its directly observable effects.",,,,,,,,
464,Euclid,2," Discovered in 19¦¦, SCP-464 is a large building located in the middle of a farm near ¦¦¦¦¦¦¦¦¦¦¦, ¦¦¦¦¦¦. The building consists of ten rooms, one of which takes up 70% of the building. The remaining nine rooms vary in size and function and take up two stories at the rear of the building.",,,,,,,,
465,Safe,1," SCP-465-01 is a large two-piece cardboard box decorated with a faded confetti pattern popular in the 1970s. Other than a large printed label on the top of the lid marked ""Party in a Box"", no indication of contents or manufacturer are found on any portion of the object. When any human subject completely removes the lid of SCP-465-01, an array of decorations, furniture, and a group of at least 20 people (collectively SCP-465-02) appear spontaneously in the room or immediate vicinity in which the box was opened. These individuals proceed to celebrate raucously, and actively attempt to include the subject in their festivities (primarily dancing and consumption of alcohol). Though most members of SCP-465-02 are persistent in these attempts, and several of them extremely persuasive, the subject does not appear to be compelled to participate. Should the subject attempt to leave the party, additional members of SCP-465-02 will manifest at any location that the subject visits for the duration of the ""party"".",,,,,,,,
466,Euclid,2," It is unknown if SCP-466 is a separate pathogen affecting a human host, or the human host itself. Current theory suggests the former. For clarity, the host individual will be referred to as SCP-466-2 and the possible infective agent as SCP-466-1.",,,,,,,,
467,Safe,1," SCP-467 appears to be an empty phone booth, and was found in [DATA EXPUNGED]. The SCP Foundation discovered it due to a legend about a 'haunted phone' that used to reside inside the booth, although testing has revealed that the phone was of no importance, and the effects came from the booth itself. Even after the phone was removed, the booth itself remained a place of superstition before being recovered by [DATA EXPUNGED].",,,,,,,,
468,Euclid,2," SCP-468-1 is an abacus with dimensions of 20 by 7 centimeters, in near-perfect condition, with no missing beads or signs of disrepair. Its beads, despite the lack of any obvious motor or driving system, will move autonomously. Periods of movement are interspersed by periods of rest, which usually last three to five hours. SCP-468-1’s beads will often perform basic arithmetic operations, though this is not always the case.",https://scp-wiki.wdfiles.com/local--files/scp-468/Chinese-abacus.jpg,,,,,,,
469,Keter,3," SCP-469 appears to be a gargantuan mound of large avian wings with white, glossy feathers, curled into a massive ball measuring 8.84m (29ft) in diameter and weighing several tons. Each wing varies in size and span, ranging from a few centimeters to several meters, with the largest estimated to be at least 53m (173.8ft) in length, and branch off one another in seemingly random, fractal-like arrays.",http://scp-wiki.wdfiles.com/local--files/scp-469/scp%20469.jpg,,,,,,,
